Name,Designation,Company
Sanjiv Mehta,Executive Chairman,L Catterton India
Prabha Narasimhan,MD & CEO,Colgate-Palmolive India
Prasoon Joshi,"CEO, McCann World Group India and Chairman APAC",
Sudhanshu Vats,Managing Director,Pidilite Industries
Rohit Bhasin,President and CMO,Kotak Mahindra Bank
Vicky Kaushal,Actor,
Virat Khullar,"AVP & Vertical Head, Marketing",Hyundai Motor India
Daniel Kim,Vice President Marketing APAC,Tinder
Jan Bures,"Executive Director of Sales, Marketing and Digital",Skoda Auto Volkswagen India
Sandeep Tanwani,CMO,
Kapil Grover,CMO,Restaurant Brands Asia (Burger King)
Ashwin Moorthy,CMO,Godrej Consumer Products
Lakshmi Narayanan,CMO,CEAT
Anuradha Aggarwal,Director User Growth and CMO,Amazon Pay
Chandrika Jain,CMO,Lenovo India
Nipun Kaushal,CMO,Yes Bank
Sunder Balasubramanian,CMO,Myntra
Bhawna Sikka,CMO,Adidas
Maneesh Mittal,Senior Vice President,
Zameer kochar,CMO,Angel One
Darshana Shah,CMO,Aditya Birla Capital
Sachin Vashishtha,CMO,Paisabazaar
Ashish Mishra,CMO,Acko
Milind Pathak,Chief Corporate Marketing Officer,Proximus Global
Saloni Anand,Co-Founder,Traya Health
Kavita Jagtiani,Chief Marketing Officer,L&T Finance
Robin Das,Founder & CEO,Brandintelle
Gagandeep Gadri,EVP & Global MD,"frog, a part of Capgemini Invent"
Nishit Kanchan,"Head of Sales, India",
Tarun Joshi,Founder & CEO,IGP
Saikot Das,"Senior Director, Marketing & Brand Experience - South Asia, Middle East & Africa",Levi Strauss & Co.
Namrata Soni,Founder,Simply Nam
Nisha khatri,Head of Marketing,Libas
Tarun Sharma,Co-Founder,Mcaffeine & Hyphen
Prabhu Karthikeyan,Co-Founder,Goodbug
