Group,Sponsor Name,Logo URL
Presenting Partner,Samsung ads,https://img.etb2bimg.com/files/retail_files/file_1750847125_SA_logo_PPTshape_1_.pptx.png
Powered By,Monotype,https://img.etb2bimg.com/files/retail_files/file_1751376697_MT_Monotype_Logo_Black_RGB_1_2.png
Co-Powered by,Route Mobile,https://img.etb2bimg.com/files/retail_files/file_1750156918_TS_BICS_RM_Proximus_Global_SMALL_PXS_Global_RGB_1_.png
In Association With,Flipkart Ads,https://img.etb2bimg.com/files/retail_files/file_1750917223_Logo_new_2_02_1_.png
Gold Partners,Google Messages,https://img.etb2bimg.com/files/retail_files/file_1746534561_Google_Messages_logo_vertical_CMYK.png
Gold Partners,TATA Communication,https://img.etb2bimg.com/files/retail_files/file_1751264577_Tata_communication_logo_3_.png
Silver Partner,Trade Desk,https://img.etb2bimg.com/files/retail_files/file_1747804283_TTD_Lockup_BlueSky_2_1_.png
Associate Partners,FROG,https://img.etb2bimg.com/files/retail_files/file_1750760037_frog_Cap_Invent_logo_horizontal_black_1_.png
Associate Partners,Shakuniya,https://img.etb2bimg.com/files/retail_files/file_1751271208_SSPL_1x3_Logo_1_.png
NBFC Fintech Partner,L&T,https://img.etb2bimg.com/files/retail_files/file_1750682712_L_T_logo_1_.jpg
Outdoor Media Partner,Roshan Space,https://img.etb2bimg.com/files/retail_files/file_1751271612_For_Logo_PNGs_02_1_.png
Exhibitors,ImageKit,https://img.etb2bimg.com/files/retail_files/file_1749533369_imagekit_logo_true_size.png
Exhibitors,Gobble cube,https://img.etb2bimg.com/files/retail_files/file_1750759823_GC_logo_blue.png
Exhibitors,Notify Visitors,https://img.etb2bimg.com/files/retail_files/file_1751271968__Group_.png
Exhibitors,oogw.ai,https://img.etb2bimg.com/files/retail_files/file_1751278180_logo_for_post_1_.png
Exhibitors,WhilterAi,https://img.etb2bimg.com/files/retail_files/file_1751271509_CMYK_Trans_1_.png
Exhibitors,Big City Promotions,https://img.etb2bimg.com/files/retail_files/file_1751451340_BCP_Logo_Vector.svg
Gifting Partners,Lenskart,https://img.etb2bimg.com/files/retail_files/file_1750916950_Logo.png
Gifting Partners,fixderma,https://img.etb2bimg.com/files/retail_files/file_1750759643_New_Logo_1_.png
Gifting Partners,Good Bug,https://img.etb2bimg.com/files/retail_files/file_1751542176_TGB_Probiotic_Logo_01_1_.png
Creative Partner,Refreshing,https://img.etb2bimg.com/files/retail_files/file_1751442905_Logo_png_1_.png
Startup Arena Showcase,Analytics LIV,https://img.etb2bimg.com/files/retail_files/file_1751358445_AnalyticsLiv_V_1_1_.png
Startup Arena Showcase,Crewtangle LP,https://img.etb2bimg.com/files/retail_files/file_1751358541_Crewtangle_Logo.png
Startup Arena Showcase,Envigo,https://img.etb2bimg.com/files/retail_files/file_1751358636_envigo_logo_1_1_1_.png
Startup Arena Showcase,FilterYou,https://img.etb2bimg.com/files/retail_files/file_1751358687_FY_Black_1_.png
Startup Arena Showcase,POOCHO,https://img.etb2bimg.com/files/retail_files/file_1751358760_logo_yellow_website_1_1_1_.png
