Post link,Created date,Post type,Impressions,Unique impressions,Clicks,Reactions,Comments,Reposts,Engagement rate
https://www.linkedin.com/feed/update/urn:li:activity:735348769239695621,2025-05-12,Image,32908,23035,658,987,65,32,5.23%
https://www.linkedin.com/feed/update/urn:li:activity:738508854095866624,2025-05-28,Carousel,30250,21175,605,907,60,30,3.32%
https://www.linkedin.com/feed/update/urn:li:activity:733132590386333296,2025-05-15,Video,27094,18965,541,812,54,27,3.09%
https://www.linkedin.com/feed/update/urn:li:activity:731470945584487501,2025-05-12,Carousel,18728,13109,374,561,37,18,4.85%
https://www.linkedin.com/feed/update/urn:li:activity:731985707251408232,2025-06-19,Carousel,31066,21746,621,931,62,31,5.38%
https://www.linkedin.com/feed/update/urn:li:activity:733063664612486521,2025-06-02,Video,32391,22673,647,971,64,32,3.18%
https://www.linkedin.com/feed/update/urn:li:activity:738570070826676498,2025-06-16,Carousel,15462,10823,309,463,30,15,2.31%
https://www.linkedin.com/feed/update/urn:li:activity:736341729080978048,2025-06-06,Video,17553,12287,351,526,35,17,5.45%
https://www.linkedin.com/feed/update/urn:li:activity:735897456811888857,2025-06-22,Video,31957,22369,639,958,63,31,2.83%
https://www.linkedin.com/feed/update/urn:li:activity:736109824451441281,2025-06-23,Image,33269,23288,665,998,66,33,2.74%
https://www.linkedin.com/feed/update/urn:li:activity:738040087083004402,2025-07-04,Image,13415,9390,268,402,26,13,2.14%
https://www.linkedin.com/feed/update/urn:li:activity:738370816270030671,2025-07-04,Video,5673,3971,113,170,11,5,5.67%
https://www.linkedin.com/feed/update/urn:li:activity:733550002448276088,2025-07-04,Video,12830,8981,256,384,25,12,4.82%
https://www.linkedin.com/feed/update/urn:li:activity:737146346446250529,2025-07-04,Carousel,8594,6015,171,257,17,8,4.41%
